Ville	Chomage	ChomageJeunes	ChomageLong	EvoluEmploiCree	Activite	EmploiFeminin	EmploiCommune	DefaillEntreprise	SalaireAnnuel	Criminalite	EvolutionCrimes	SecuriteRoutiere	Inondations	TerrainsPollues	UsinesRisques	MortaliteInfantile	MortaliteCancerPoumon	MortaliteAlcool	DecesInfarctus	TauxSuicide	MortaliteGlobale	TailleClassesPrimaires	Retard6eme	Retard3eme	RetardTerminale	MetreCarreAncien	TaxeHabitation	FoncierBati	MetreCubeEau	Proprietaires	LogtSup4pieces	LogtInsalubre	LogtVacant	LogtConstruction	Mer	Ski	Soleil	Pluie	Temperature	MarcheAPied	Musees	Cinema	MonumHistoriques	PretLivres	RestaurDistingues	Presse	Etudiants	ImpotRevenu	ImpotFortune	Imposables	EvolDemographique	Vieillissement	AttiranceGlobale	AttiranceActifs
ChalonSurSaone	0.169	0.156	0.570	0.030	0.470	0.430	0.580	0.140	17651	89.100	0.276	2.500	4	4	4	6.800	40.900	44.400	65.400	27.200	820.100	20.800	0.043	0.134	0.207	760	17.540	23.770	2.210	0.330	0.440	0.010	0.100	0.001	1	2	1925	118.300	10.900	0.150	2	4.100	7	3.400	1.000	22.800	0.030	1089	0.006	51	-0.082	0.370	0.280	0.350
Chambery	0.153	0.117	0.490	0.060	0.430	0.490	0.560	0.140	18142	116.400	0.227	1.200	3	2	0	2.000	46.400	38.000	59.900	18.400	815.900	23.300	0.045	0.077	0.175	1001	18.720	25.950	1.870	0.370	0.450	0.011	0.080	0.011	1	2	2027	110.400	9.000	0.160	3	3.400	12	7.800	0.000	22.400	0.030	1339	0.009	51	0.031	0.360	0.350	0.380
CharlevilleMezieres	0.202	0.145	0.610	0.050	0.440	0.470	0.590	0.200	17939	74.100	0.101	1.200	12	3	1	3.800	55.500	57.900	109.100	23.000	907.800	22.800	0.045	0.124	0.204	819	17.470	28.160	2.410	0.320	0.530	0.013	0.080	0.002	1	1	1440	132.000	9.500	0.150	2	3.200	53	3.700	0.000	17.800	0.020	1054	0.004	46	-0.027	0.280	0.250	0.300
Chartres	0.117	0.155	0.490	-0.010	0.490	0.530	0.510	0.130	18711	82.900	0.093	4.100	5	1	0	6.800	40.200	47.700	69.200	27.300	864.300	22.200	0.022	0.042	0.164	1182	19.630	36.050	3.280	0.330	0.450	0.011	0.070	0.008	1	1	1749	107.900	10.300	0.140	4	2.500	20	9.600	0.000	24.500	0.040	1610	0.010	58	0.019	0.370	0.380	0.450
Cholet	0.126	0.169	0.550	0.010	0.470	0.440	0.670	0.140	17827	65.300	0.065	3.500	9	1	0	3.800	25.400	38.100	48.500	15.100	690.700	22.100	0.014	0.068	0.145	761	14.000	23.490	2.550	0.560	0.630	0.006	0.050	0.008	2	1	1944	107.700	11.500	0.070	2	3.900	1	5.400	0.000	15.700	0.030	1281	0.006	53	-0.017	0.250	0.230	0.270
ClermontFerrand	0.144	0.125	0.530	0.030	0.440	0.460	0.630	0.140	18018	72.000	-0.026	5.800	11	4	0	6.600	33.500	39.900	82.100	20.200	842.400	21.700	0.060	0.127	0.233	910	16.120	17.130	1.820	0.310	0.410	0.015	0.090	0.004	1	2	1907	89.600	10.900	0.160	4	4.200	27	2.400	1.000	20.200	0.180	1209	0.006	53	0.007	0.350	0.350	0.360
Colmar	0.112	0.236	0.430	0.040	0.480	0.490	0.590	0.190	18440	81.700	0.044	3.600	6	1	0	6.800	55.600	44.500	78.500	18.500	923.400	23.100	0.053	0.077	0.136	1077	16.760	17.030	1.810	0.320	0.470	0.017	0.070	0.008	1	2	1724	103.700	10.200	0.120	3	4.600	18	5.400	2.000	16.800	0.040	1471	0.005	57	0.026	0.310	0.280	0.330
Compiegne	0.140	0.142	0.510	0.020	0.450	0.470	0.500	0.150	20341	104.800	0.161	0.200	8	3	0	6.600	37.300	42.500	70.800	15.400	802.600	23.600	0.042	0.080	0.212	1088	11.760	21.350	2.830	0.310	0.460	0.008	0.080	0.008	2	1	1650	115.100	9.900	0.110	4	3.800	8	3.700	0.000	20.900	0.100	1709	0.012	55	-0.015	0.270	0.380	0.430
CorbeilEssonnes	0.173	0.149	0.520	-0.210	0.480	0.410	0.280	0.250	18172	118.700	0.072	3.900	6	4	0	6.600	63.900	52.100	68.900	21.360	931.300	24.000	0.060	0.182	0.289	1098	16.500	20.170	2.990	0.370	0.410	0.014	0.130	0.005	1	1	1798	111.200	10.500	0.080	0	4.300	2	4.900	0.000	15.100	0.010	1052	0.003	53	-0.024	0.180	0.320	0.370
Creteil	0.123	0.118	0.540	-0.010	0.500	0.530	0.290	0.130	20412	103.900	0.215	2.300	4	0	0	5.800	35.200	28.900	62.100	21.360	738.400	24.300	0.046	0.102	0.322	1677	16.680	20.370	3.000	0.330	0.400	0.004	0.070	0.010	1	1	1798	110.700	10.900	0.080	0	6.100	0	4.300	0.000	12.600	0.220	1631	0.004	62	0.001	0.140	0.350	0.390
